profileID,respID,qID,altID,obsID,blockID,location,price,materials,frequency
40,1,1,1,1,1,Drop-off,20,Commercial compost,2
80,1,1,2,1,1,Drop-off,20,Food waste,3
3,1,2,1,2,1,Door Pick-up,5,Commercial compost,1
84,1,2,2,2,1,Drop-off,5,Limited food waste,3
23,1,3,1,3,1,Door Pick-up,5,Limited food waste,1
106,1,3,2,3,1,Drop-off,10,Food waste,4
74,1,4,1,4,1,Drop-off,5,Food waste,3
25,1,4,2,4,1,Door Pick-up,10,Limited food waste,1
16,1,5,1,5,1,Drop-off,10,Food waste,1
97,1,5,2,5,1,Door Pick-up,15,Commercial compost,4
68,1,6,1,6,1,Drop-off,15,Commercial compost,3
87,1,6,2,6,1,Door Pick-up,15,Limited food waste,3
47,1,7,1,7,1,Door Pick-up,15,Food waste,2
117,1,7,2,7,1,Door Pick-up,15,Limited food waste,4
26,1,8,1,8,1,Drop-off,10,Limited food waste,1
65,1,8,2,8,1,Door Pick-up,10,Commercial compost,3
40,2,1,1,9,1,Drop-off,20,Commercial compost,2
80,2,1,2,9,1,Drop-off,20,Food waste,3
3,2,2,1,10,1,Door Pick-up,5,Commercial compost,1
84,2,2,2,10,1,Drop-off,5,Limited food waste,3
23,2,3,1,11,1,Door Pick-up,5,Limited food waste,1
106,2,3,2,11,1,Drop-off,10,Food waste,4
74,2,4,1,12,1,Drop-off,5,Food waste,3
25,2,4,2,12,1,Door Pick-up,10,Limited food waste,1
16,2,5,1,13,1,Drop-off,10,Food waste,1
97,2,5,2,13,1,Door Pick-up,15,Commercial compost,4
68,2,6,1,14,1,Drop-off,15,Commercial compost,3
87,2,6,2,14,1,Door Pick-up,15,Limited food waste,3
47,2,7,1,15,1,Door Pick-up,15,Food waste,2
117,2,7,2,15,1,Door Pick-up,15,Limited food waste,4
26,2,8,1,16,1,Drop-off,10,Limited food waste,1
65,2,8,2,16,1,Door Pick-up,10,Commercial compost,3
40,3,1,1,17,1,Drop-off,20,Commercial compost,2
80,3,1,2,17,1,Drop-off,20,Food waste,3
3,3,2,1,18,1,Door Pick-up,5,Commercial compost,1
84,3,2,2,18,1,Drop-off,5,Limited food waste,3
23,3,3,1,19,1,Door Pick-up,5,Limited food waste,1
106,3,3,2,19,1,Drop-off,10,Food waste,4
74,3,4,1,20,1,Drop-off,5,Food waste,3
25,3,4,2,20,1,Door Pick-up,10,Limited food waste,1
16,3,5,1,21,1,Drop-off,10,Food waste,1
97,3,5,2,21,1,Door Pick-up,15,Commercial compost,4
68,3,6,1,22,1,Drop-off,15,Commercial compost,3
87,3,6,2,22,1,Door Pick-up,15,Limited food waste,3
47,3,7,1,23,1,Door Pick-up,15,Food waste,2
117,3,7,2,23,1,Door Pick-up,15,Limited food waste,4
26,3,8,1,24,1,Drop-off,10,Limited food waste,1
65,3,8,2,24,1,Door Pick-up,10,Commercial compost,3
40,4,1,1,25,1,Drop-off,20,Commercial compost,2
80,4,1,2,25,1,Drop-off,20,Food waste,3
3,4,2,1,26,1,Door Pick-up,5,Commercial compost,1
84,4,2,2,26,1,Drop-off,5,Limited food waste,3
23,4,3,1,27,1,Door Pick-up,5,Limited food waste,1
106,4,3,2,27,1,Drop-off,10,Food waste,4
74,4,4,1,28,1,Drop-off,5,Food waste,3
25,4,4,2,28,1,Door Pick-up,10,Limited food waste,1
16,4,5,1,29,1,Drop-off,10,Food waste,1
97,4,5,2,29,1,Door Pick-up,15,Commercial compost,4
68,4,6,1,30,1,Drop-off,15,Commercial compost,3
